ID,NAME,TYPE,REGION_CODE,REGION_PREFIX,DISTRICT_CODE,DISTRICT_PREFIX,ADDRESS,BUSINESS_CODE,PHONE_NUMBER,EMAIL,WEBSITE
958f55be-2787-4b4a-94fd-f9b3571f1604,Name 1,LOCAL,01,Thành ph?,001,Qu?n,Address 1,1234,0987654321,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1605,Name 2,LOCAL,01,Thành ph?,001,Qu?n,Address 2,1235,0987654322,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1606,Name 3,LOCAL,01,Thành ph?,001,Qu?n,Address 3,1236,0987654323,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1607,Name 4,LOCAL,01,Thành ph?,001,Qu?n,Address 4,1237,0987654324,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1608,Name 5,LOCAL,01,Thành ph?,001,Qu?n,Address 5,1238,0987654325,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1609,Name 6,LOCAL,01,Thành ph?,001,Qu?n,Address 6,1239,0987654326,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1610,Name 7,LOCAL,01,Thành ph?,001,Qu?n,Address 7,1240,0987654327,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1611,Name 8,LOCAL,01,Thành ph?,001,Qu?n,Address 8,1241,0987654328,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1612,Name 9,LOCAL,01,Thành ph?,001,Qu?n,Address 9,1242,0987654329,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1613,Name 10,LOCAL,01,Thành ph?,001,Qu?n,Address 10,1243,0987654330,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1614,Name 11,GROUP,01,Thành ph?,001,Qu?n,Address 11,1244,0987654331,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1615,Name 12,GROUP,01,Thành ph?,001,Qu?n,Address 12,1245,0987654332,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1616,Name 13,GROUP,01,Thành ph?,001,Qu?n,Address 13,1246,0987654333,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1617,Name 14,GROUP,01,Thành ph?,001,Qu?n,Address 14,1247,0987654334,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1618,Name 15,GROUP,01,Thành ph?,001,Qu?n,Address 15,1248,0987654335,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1619,Name 16,GROUP,01,Thành ph?,001,Qu?n,Address 16,1249,0987654336,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1620,Name 17,GROUP,01,Thành ph?,001,Qu?n,Address 17,1250,0987654337,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1621,Name 18,GROUP,01,Thành ph?,001,Qu?n,Address 18,1251,0987654338,abc@gmail.com,https://example.com
958f55be-2787-4b4a-94fd-f9b3571f1622,Name 19,GROUP,01,Thành ph?,001,Qu?n,Address 19,1252,0987654339,abc@gmail.com,https://example.com
