timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679412070883,188,Setup - Check API Host,200,,SetUp 1-1,text,true,,336,115,1,1,http://13.229.198.3/,185,0,96
1679412071075,2697,Setup - Check Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,2696,0,2630
1679412074382,65,Setup - Check Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,65,0,1
1679412074448,65,Setup - Check Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,65,0,0
1679412074514,1942,Setup - Insert Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,300,0,1,1,null,0,0,0
1679412076457,807,Setup - Insert Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,30,0,1,1,null,0,0,0
1679412077264,2084,Setup - Insert Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,299,0,1,1,null,0,0,0
1679412079402,157,AWCP010 - 200 - Check default,200,,/jobs/{id} 1-1,text,true,,2314,279,1,1,http://13.229.198.3/jobs/1,157,0,73
1679412080319,77,AWCP010 - 200 - Check job not found,200,,/jobs/{id} 1-1,text,true,,365,294,1,1,http://13.229.198.3/jobs/2093704795389484,77,0,0
1679412080396,71,AWCP0010 - 400 - Check valid jobId format long,400,,/jobs/{id} 1-1,text,true,,359,290,1,1,http://13.229.198.3/jobs/2f32f321g1v2,71,0,0
1679412080468,172,AWCP0010 - 400 - Check valid jobId min 1,400,,/jobs/{id} 1-1,text,true,,394,279,1,1,http://13.229.198.3/jobs/0,171,0,82
1679412080640,135,"AWCP0010 - 400 - Check valid jobId max 9,223,372,036,854,775,807",400,,/jobs/{id} 1-1,text,true,,359,297,1,1,http://13.229.198.3/jobs/9223372036854775808,135,0,65
1679412080776,139,AWCP0010 - 401 - Check Headers - sso-api-key empty,401,,/jobs/{id} 1-1,text,true,,357,184,1,1,http://13.229.198.3/jobs/1,139,0,70
1679412080916,69,AWCP0010 - 401 - Check Headers - sso-api-key incorrect,401,,/jobs/{id} 1-1,text,true,,359,223,1,1,http://13.229.198.3/jobs/1,69,0,0
1679412080986,70,AWCP0010 - 401 - Check  Headers - org-id empty,401,,/jobs/{id} 1-1,text,true,,352,233,1,1,http://13.229.198.3/jobs/1,70,0,0
1679412081057,68,AWCP0010 - 401 - Check Headers - sso-client empty,401,,/jobs/{id} 1-1,text,true,,356,262,1,1,http://13.229.198.3/jobs/1,68,0,0
1679412081127,66,TearDown - Delete Table  WCP_JOB_POSTS,200,OK,TearDown 1-1,text,true,,10,0,1,1,null,66,0,1
1679412081194,66,TearDown - Delete Table  WCP_JOB_TYPE,200,OK,TearDown 1-1,text,true,,10,0,1,1,null,66,0,0
1679412081260,66,TearDown - Delete Table  ORG_INFO,200,OK,TearDown 1-1,text,true,,9,0,1,1,null,66,0,0
1679412081328,64,TearDown - Check Table - WCP_JOB_POSTS,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,64,0,0
1679412081393,64,TearDown - Check Table - WCP_JOB_TYPE,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,64,0,0
1679412081457,65,TearDown - Check Table - ORG_INFO,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,65,0,0
