timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679411982449,144,Setup - Check API Host,200,,SetUp 1-1,text,true,,336,115,1,1,http://13.229.198.3/,138,0,74
1679411982594,2393,Setup - Check Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,2393,0,2322
1679411984996,67,Setup - Check Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,67,0,0
1679411985064,72,Setup - Check Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,72,0,0
1679411985137,2060,Setup - Insert Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,299,0,1,1,null,0,0,0
1679411987197,665,Setup - Insert Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,30,0,1,1,null,0,0,0
1679411987862,3310,Setup - Insert Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,599,0,1,1,null,0,0,0
1679411991234,198,AWCP009 - 200 - Check defalut,200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,3851,316,1,1,http://13.229.198.3/jobs,198,0,74
1679411992287,74,AWCP009 - 200 - Check regionCode,200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,1112,291,1,1,http://13.229.198.3/jobs?regionCode=01,74,0,0
1679411993201,205,AWCP009 - 200 - Check jobTypeId,200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,3851,289,1,1,http://13.229.198.3/jobs?jobTypeId=1,205,0,0
1679411994175,79,AWCP009 - 200 - Check pageNo,200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,3851,286,1,1,http://13.229.198.3/jobs?pageNo=1,79,0,0
1679411995101,73,AWCP009 - 200 - Check pageSize,200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,3851,289,1,1,http://13.229.198.3/jobs?pageSize=10,73,0,0
1679411995957,74,"AWCP009 - 200 - Check regionCode, jobTypeId",200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,1112,303,1,1,http://13.229.198.3/jobs?regionCode=01&jobTypeId=1,74,0,0
1679411996811,72,"AWCP009 - 200 - Check regionCode, pageNo",200,,/jobs?regionCode=&jobTypeId=&pageSize=&pageNo= 1-1,text,true,,1112,300,1,1,http://13.229.198.3/jobs?regionCode=01&pageNo=1,72,0,0
