ID,ORG_ID,JOB_TYPE_ID,TITLE,SLUG,META_TITLE,META_KEYWORDS,META_DESCRIPTION,NUMBER_REQUEST,END_DATE,REGION_CODE,REGION_NAME,REGION_PREFIX,WORK_ADDRESS,DESCRIPTION,REQUIREMENT,BENEFIT,IS_DISPLAY,PUBLISHED_AT,LAST_UPDATED_AT,IS_DELETED,CREATED_AT,UPDATED_AT
1,958f55be-2787-4b4a-94fd-f9b3571f1604,1,534,534,534,534,534,45345,2022-11-01,79,Thành phố Hồ Chí Minh,Thành phố,,,,,YES,2022-11-21 09:36:19.000,2022-11-21 04:44:03.000,NO,2022-11-21 04:44:03.000,2022-12-13 03:50:21.000
2,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 5,tao-moi-5,tạo mới 5,tạo mới 5,tạo mới 5,45346,2022-11-02,89,An Giang,Tỉnh,,,,,YES,2022-11-21 09:52:32.000,2022-11-21 06:37:09.000,NO,2022-11-21 06:37:09.000,2022-12-13 03:50:26.000
3,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo data test xóa,tao-data-test-xoa-,tạo data test xóa,tạo data test xóa,tạo data test xóa,45347,2022-11-03,01,Hà Nội,Thành phố,hà nội,hihi,haha,hehe,YES,2022-11-21 09:53:31.000,2022-11-21 07:22:45.000,NO,2022-11-21 07:22:45.000,2022-12-13 01:33:59.000
4,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới,tao-moi,tạo mới,tạo mới,tạo mới,45348,2022-11-04,92,Cần Thơ,Thành phố,,,,,YES,2022-11-21 09:53:40.000,2022-11-21 07:27:55.000,NO,2022-11-21 07:27:55.000,2022-12-13 03:50:30.000
5,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 2,tao-moi-2,tạo mới 2,tạo mới 2,tạo mới 2,45349,2022-11-05,89,An Giang,Tỉnh,,,,,YES,2022-11-21 09:53:45.000,2022-11-21 07:28:14.000,NO,2022-11-21 07:28:14.000,2022-12-12 10:10:28.000
6,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 3,tao-moi-3,tạo mới 3,tạo mới 3,tạo mới 3,45350,2022-11-06,92,Cần Thơ,Thành phố,,,,,YES,2022-11-21 09:54:01.000,2022-11-21 07:28:48.000,NO,2022-11-21 07:28:48.000,2022-12-13 01:34:09.000
7,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 4,tao-moi-4,tạo mới 4,tạo mới 4,tạo mới 4,45351,2022-11-07,,,,,,,,YES,2022-11-21 09:54:07.000,2022-11-21 07:29:29.000,NO,2022-11-21 07:29:29.000,2022-12-13 03:51:44.000
8,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 5,tao-moi-5,tạo mới 5,tạo mới 5,tạo mới 5,45352,2022-11-08,,,,,,,,YES,2022-11-21 09:54:27.000,2022-11-21 07:30:53.000,NO,2022-11-21 07:30:53.000,2022-12-12 10:10:28.000
9,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 6,tao-moi-6,tạo mới 6,tạo mới 6,tạo mới 6,45353,2022-11-09,,,,,,,,YES,2022-11-21 09:56:02.000,2022-11-21 07:31:44.000,NO,2022-11-21 07:31:44.000,2022-12-12 10:10:28.000
10,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tạo mới 7,tao-moi-7,tạo mới 7,tạo mới 7,tạo mới 7,45354,2022-11-10,,,,,,,,YES,2022-11-21 09:56:06.000,2022-11-21 07:32:21.000,NO,2022-11-21 07:32:21.000,2022-12-12 10:10:28.000
